miasto,n,mediana,srednia
SMOGULECKA WIEŚ,7,42000.0,49428.57142857143
PALCZYN,7,118000.0,355428.5714285714
SKARSZEWY,7,135000.0,185000.0
SKRZYPKOWO,7,140000.0,148714.2857142857
DĄBRÓWKA SŁUPSKA,7,142000.0,283428.5714285714
PNIEWY,7,250000.0,231914.2857142857
PARTĘCZYNY,7,27260.0,106400.82857142857
STARE BŁONOWO,7,145000.0,151428.57142857142
WIERZBICZANY,7,140000.0,154142.85714285713
WIELKIE ŁUNAWY,7,435000.0,298571.4285714286
WIELE,7,10000.0,66338.05714285714
WIELKI WEŁCZ,7,185000.0,167142.85714285713
BZOWO,7,210000.0,217428.57142857142
JEZIORKI,7,95000.0,132285.7142857143
STODÓLNO,7,120000.0,157571.42857142858
KAWLE,7,120000.0,122142.85714285714
JEZUICKA STRUGA,7,90000.0,70800.0
LISZKOWICE,7,30000.0,161371.42857142858
LATKOWO,7,245000.0,262885.71428571426
LASKI WIELKIE-MAŁE,7,460000.0,440642.85714285716
LIŃSK,7,300000.0,354142.85714285716
SKALMIEROWICE GM.GNIEWKOWO,7,349998.0,288062.5714285714
OKONINY NADJEZIORNE,7,60000.0,156500.0
NIEDŹWIEDŹ,7,216130.0,145645.7142857143
SZEROKOPAS,7,140000.0,201285.7142857143
SZEWNO,7,120000.0,143214.2857142857
LUDZISKO,7,235000.0,312857.14285714284
WENECJA,7,430000.0,362714.28571428574
BRZEMIONA,7,150000.0,161000.0
MAZOWSZE-PARCELE,7,344000.0,335428.5714285714
MLEWIEC,7,69000.0,78571.42857142857
DROŻDZIENICA,7,160000.0,158229.57142857142
KARCZEWO,7,160000.0,163845.0
PŁAZOWO,7,465000.0,393428.5714285714
TARKOWO DOLNE,7,325000.0,353982.28571428574
GĄBIN,7,182000.0,185654.2857142857
KNIEJA,7,200000.0,191157.14285714287
KOBYŁY,7,70000.0,77571.42857142857
BATKOWO,7,280000.0,304046.5714285714
ŻYGLĄD,7,105000.0,193571.42857142858
PŁONKÓWKO,6,122500.0,122500.0
GOŚCIESZYN,6,209000.0,239000.0
CHLEWISKA,6,235000.0,239833.33333333334
CHOMIĄŻA SZLACHECKA,6,357000.0,395666.6666666667
MIASTOWICE,6,175000.0,187500.0
TRZEBCZYK,6,400000.0,400000.0
KARCZYN,6,170000.0,160500.0
GĄCZ,6,95000.0,139166.66666666666
GĄSKI,6,72500.0,160833.33333333334
BOCHENIEC,6,73750.0,117916.66666666667
ROŚCIMIN,6,51500.0,157827.65
GIERKOWO,6,53500.0,53500.0
GAJ,6,440110.0,418370.0
GAJEWO,6,85000.0,75833.33333333333
WYSOKA,6,155000.0,148100.0
WŁÓKI,6,322500.0,395833.3333333333
GOCANOWO,6,75000.0,84466.66666666667
PIASTOSZYN,6,197500.0,345166.6666666667
PIEŃKI KRÓLEWSKIE,6,409500.0,367666.6666666667
RZESZYNEK,6,305000.0,265089.4816666667
PALĘDZIE KOŚCIELNE,6,97500.0,102166.66666666667
DRZEWIANOWO,6,216000.0,244500.0
SŁAWSK WIELKI,6,202500.0,206000.0
TOPOLA,6,95000.0,213750.0
PARCHANIE,6,80000.0,119583.33333333333
SIEROSŁAW,6,197500.0,272166.6666666667
BŁAWATY,6,219780.0,218093.33333333334
WYBCZ,6,112000.0,221000.0
GOGOLINEK,6,298500.0,298666.6666666667
OĆWIEKA,6,360000.0,325000.0
OŚNO,6,173000.0,173000.0
SKARPA,6,140000.0,144833.33333333334
SKORACZEWO,6,250000.0,288333.3333333333
OSTROWO GM.GNIEWKOWO,6,137500.0,175833.33333333334
OSTRÓWEK,6,185000.0,238166.66666666666
CZEMLEWO,6,410000.0,329398.5
SKĄPE,6,342000.0,282000.0
SOBIESIERNIE,6,85000.0,78583.33333333333
SZEMBRUK,6,46500.0,113833.33333333333
MAKOWISKA,6,182500.0,210438.70666666667
MALICE,6,31337.5,90910.41666666667
TYTLEWO,6,330000.0,330000.0
BROWINA,6,245000.0,255041.66666666666
OKONIN,6,210000.0,237166.66666666666
STARA WIEŚ,6,105000.0,135833.33333333334
LASKI,6,83500.0,138333.33333333334
WONORZE,6,55000.0,137500.0
WRONOWY,6,91500.0,149325.83333333334
IZDEBNO,6,420000.0,385000.0
WILCZEWO,6,89000.0,178166.66666666666
LISZKÓWKO,6,77500.0,104166.66666666667
NIEDŹWIADY,6,183000.0,207750.0
SZCZEPANOWO,6,71000.0,131166.66666666666
GROMADNO,6,294000.0,266333.3333333333
GÓRKI DĄBSKIE,6,114000.0,103800.0
LUSZKÓWKO,6,124000.0,146166.66666666666
DZIEMIONY,6,210000.0,268462.8333333333
WITOWĄŻ,6,370000.0,377067.5
NOWE MOSTY,6,188500.0,170333.33333333334
NOWY JASINIEC,6,181000.0,238083.33333333334
STRZELCE,6,190000.0,204905.33333333334
STRZYŻAWA,6,488000.0,448333.3333333333
MŁODOCIN,6,132500.0,160883.33333333334
POĆWIARDOWO,6,287500.0,290000.0
PRZEPAŁKOWO,6,80000.0,77500.0
RADOJEWICE,6,73500.0,116058.33333333333
RADŁOWO,6,230000.0,226666.66666666666
KOWRÓZ,6,110000.0,156666.66666666666
ŁASZEWO,6,104500.0,141000.0
ŁĄKOCIN,6,281000.0,291666.6666666667
PĘDZEWO,6,494700.0,411566.6666666667
ŚCIBORZE,6,175000.0,215833.33333333334
KOKOCKO,5,430000.0,402180.0
ŁĄŻYNEK,5,330000.0,347000.0
LUBOCIEŃ,5,37000.0,53400.0
PŁAWINEK,5,129000.0,246600.0
JARKI,5,270000.0,262400.0
JASZCZ,5,70000.0,83600.0
ŚWIĘTE,5,60000.0,61400.0
MURZYNKO,5,70000.0,146000.0
KITNOWO,5,260000.0,236000.0
RADZICZ,5,170000.0,154160.0
MĄKOSZYN,5,390000.0,367800.0
STRUŻAL,5,25000.0,328000.0
STOPKA,5,170000.0,154600.0
BURSZTYNOWO,5,58000.0,161400.0
LUDKOWO,5,45000.0,139000.0
WIERZCHUCINEK,5,120000.0,197800.0
LIPNO,5,62000.0,167200.0
WIERZCHY,5,23640.0,152184.0
BUŚNIA,5,14328.4,23919.68
SZCZEPANKOWO,5,247000.0,302200.0
SZADŁOWICE,5,60000.0,56626.0
SZCZEPANKI,5,150000.0,175997.5
LISEWO KOŚCIELNE,5,200000.0,283800.0
LIZNOWO,5,320000.0,304200.0
WITKOWO,5,180000.0,167716.6
NADBOROWO,5,70000.0,166000.0
WIELKI MĘDROMIERZ,5,140000.0,142000.0
NOWAWIEŚ GM.GOLUB DOBRZYŃ,5,300000.0,272000.0
KIERZKOWO,5,285000.0,256000.0
KIEŁPINY,5,180000.0,226000.0
KAMIENICA,5,102360.0,127696.8
GODAWY,5,370000.0,416000.0
GĄDECZ,5,180000.0,168600.0
HANDLOWY MŁYN,5,410000.0,389400.0
TARNÓWKO,5,145000.0,147800.0
PIOTRKOWICE,5,442800.0,488560.0
MILISZEWY,5,245000.0,356000.0
SAMSIECZNO,5,290000.0,263671.4
CHABSKO,5,40000.0,120458.4
MAŁA KLONIA,5,175000.0,159192.0
PARSKI,5,150694.0,243077.6
PAULINY,5,129000.0,121200.0
SIELEC,5,44000.0,58812.0
GORZANY,5,140000.0,119200.0
DOBIESZEWO,5,55000.0,58000.0
GOLEJEWO,5,80000.0,81860.0
OŚNISZCZEWO,5,80000.0,96000.0
DZIAŁYŃ,5,290000.0,230442.13999999998
SOBIEJUCHY,5,117968.0,104593.6
DUŻA CERKWICA,5,110000.0,116400.0
BRUKI II,5,250000.0,238000.0
MACIKOWO,5,360000.0,324000.0
SZEWA,5,80000.0,90900.0
SKŁUDZEWO,5,245000.0,225570.0
SOKOLIGÓRA,5,110000.0,170400.0
STARE MARZY,5,200000.0,286000.0
BOLUMINEK,5,570000.0,472000.0
WIĘZOWNO,5,68330.0,90666.0
WSZEDZIEŃ,5,185000.0,188400.0
WOLA STANOMIŃSKA,5,50000.0,106800.0
BRANICA,5,700000.0,569600.0
BORZYSZKOWO,5,390000.0,360000.0
OBKAS,5,110000.0,119000.0
STARY JASINIEC,5,200000.0,259800.0
IWNO,5,200000.0,210000.0
HUTNA WIEŚ,5,93750.0,353050.0
TARNOWO,5,68680.0,84736.0
ZAJEZIERZE,5,155000.0,283200.0
WYGODA,5,90000.0,92400.0
ELZANOWO,5,200000.0,248000.0
KOŃCZYCE,5,280000.0,272000.0
KITNÓWKO,5,51800.0,44024.14
TRZEBCZ KRÓLEWSKI,5,260000.0,349000.0
KAMIONKI DUŻE,5,250000.0,280200.0
CHEŁMONIE,5,117000.0,144400.0
PŁUTOWO,5,130000.0,192000.0
GOŁĘBIEWKO,5,75000.0,72000.0
PŁOSKÓW,5,155000.0,155000.0
POLEDNO,5,72000.0,55800.0
ROZALINOWO-PIASTOWO,5,360000.0,313438.4
CHMIELNIKI,5,450000.0,474000.0
TRZEMIĘTOWO,5,220000.0,287000.0
RÓŻANNA,5,160000.0,143800.0
ZAWDA,5,80000.0,135000.0
RUDY,5,71300.0,71300.0
CIENCISKO,5,200000.0,306000.0
ZBYTOWO,5,150000.0,200000.0
WATOROWO,4,385000.0,357500.0
SZARNOŚ,4,85000.0,265000.0
SUCHOM,4,365000.0,397500.0
WITOLDOWO,4,175000.0,260000.0
MŁYNICE,4,367500.0,359500.0
MŁYNIEC PIERWSZY,4,461000.0,400500.0
POPOWO,4,122500.0,130000.0
NOWA TUCHOLA,4,412500.0,413750.0
DOBRYLEWO,4,127000.0,117391.0
STRZELNO KLASZTORNE,4,130000.0,182500.0
BĄBOLIN,4,67500.0,150262.5
PŁOCICZ,4,120000.0,112500.0
PŁONKOWO,4,140000.0,130000.0
ŻUR,4,104600.0,104600.0
GOZDANIN,4,72810.0,88147.25
GÓRA,4,283500.0,291750.0
WIELKI KONOPAT,4,253009.795,317157.985
NOWA WIEŚ NOTECKA,4,140000.0,145250.0
DORPOSZ SZLACHECKI,4,312500.0,312500.0
WIELKI SOSNOWIEC,4,157500.0,235000.0
WIELKIE BUDZISKA,4,150000.0,133432.0
KAZIN,4,216000.0,303000.0
KAŹMIERZEWO,4,76500.0,157000.0
KIJEWO SZLACHECKIE,4,252500.0,336875.0
ŻARCZYN,4,225000.0,238000.0
ŁĄSKO WIELKIE,4,85000.0,92000.0
ŁĄŻEK,4,292500.0,281250.0
KOMORSK,4,130127.5,255563.75
ZĘBÓWIEC,4,240000.0,255000.0
BERLINEK,4,35000.0,62000.0
ŻĘDOWO,4,166000.0,200575.0
ALEKSANDROWO,4,710000.0,615000.0
ZIELONCZYN,4,520000.0,457500.0
PRZYBYSŁAW,4,320000.0,274000.0
POSŁUGOWO,4,180000.0,180000.0
MĄTAWY,4,42500.0,100037.5
SMERZYN,4,118750.0,164375.0
WICHORZE,4,112000.0,122250.0
DZIERZĄŻNO,4,181000.0,233000.0
STODOŁY,4,63500.0,76750.0
IŁOWO,4,92500.0,117500.0
JEŻEWICE,4,333500.0,320500.0
WOLA,4,101000.0,120500.0
MAŁSZYCE,4,583000.0,470750.0
SIERAKOWO,4,410000.0,340000.0
SIEMIONKI,4,252500.0,303947.5
PAŁUCZYNA,4,285000.0,255000.0
DŹWIERZCHNO,4,137500.0,130000.0
DĘBOWO,4,108500.0,99750.0
GROCHOWISKA KSIĘŻE,4,172500.0,167250.0
BŁACHTA,4,34000.0,34000.0
KRĄŻKOWO,4,265000.0,290000.0
KURZEJEWO,4,152500.0,203750.0
GROCHOWISKA SZLACHECKIE,4,108000.0,104000.0
GOGÓŁKOWO,4,303000.0,294065.0
OSÓWKA,4,235000.0,258750.0
OWIECZKOWO,4,137000.0,139000.0
CZEWUJEWO,4,295000.0,325000.0
WYDRZNO,4,100000.0,182670.0
CZAPLE,4,180000.0,194013.5
OTOROWO,4,245000.0,275000.0
SKĘPSK,4,338000.0,354666.75
SKALMIEROWICE GM.JANIKOWO,4,225000.0,236250.0
SKÓRKI,4,76500.0,143250.0
SKWIRYNOWO,4,67500.0,98750.0
SKURGWY,4,315000.0,267500.0
HUTA,4,285000.0,315000.0
DZIEDNO,4,37500.0,50000.0
MORZEWIEC,4,497750.0,496375.0
DĄBROWA WIELKA,4,190000.0,196250.0
MARCINKOWO DOLNE,4,85000.0,90000.0
ORZEŁEK,4,100000.0,154750.0
PIOTRKÓWKO,4,154000.0,168250.0
BRZOZIE,4,254000.0,342000.0
BRĄCHNOWO,4,243400.0,279200.0
BOCIEŃ,4,60000.0,61000.0
RYBIENIEC,4,322500.0,288625.0
CHWALISZEWO,4,107500.0,108750.0
CIESZYNY,4,60505.0,90252.5
FLETNOWO,4,144750.0,182375.0
WYTRĘBOWICE,4,550000.0,576250.0
WYROBKI,4,219000.0,254360.0
TARKOWO,4,124000.0,189250.0
MODRAKOWO,4,37500.0,50000.0
DRZEWCE,4,520000.0,544000.0
SŁUP,4,400000.0,385000.0
SŁĘBOWO,4,286500.0,279500.0
MLECZKOWO,4,90000.0,158750.0
MIROWICE,4,212500.0,253750.0
PIWNICE,4,210000.0,218500.0
KAMIENIEC,4,125000.0,113750.0
KRACZKI,4,99500.0,134750.0
KRAJĘCIN,4,50000.0,40250.0
KRUSZA DUCHOWNA,4,325000.0,307500.0
BISKUPICE,4,320000.0,289250.0
GŁOGÓWIEC,4,47500.0,43625.0
GŁĘBOKIE,4,67500.0,57000.0
KARSK,4,95000.0,113750.0
CHEŁMONIEC,4,120750.0,172375.0
ROSOCHATKA,4,331000.0,309250.0
CHRYSTKOWO,4,195000.0,167500.0
CHOMĘTOWO,4,132500.0,115000.0
POPOWICZKI,4,69500.0,74750.0
ŚWIERCZYNKI,4,645000.0,544750.0
BAGNIEWO,4,85000.0,80750.0
BAGNIEWKO,4,330000.0,318750.0
BAGIENICA,4,180000.0,182500.0
BARANOWO,3,300000.0,286666.6666666667
BACHORCE,3,160000.0,196666.66666666666
PRZYJMA,3,200000.0,276666.6666666667
PRZEDBOJEWICE,3,200000.0,146666.66666666666
PROCYŃ,3,90000.0,125000.0
PŁOCHOCINEK,3,162000.0,124666.66666666667
PRZYSIERSK,3,195000.0,225833.33333333334
ŻURAWIA,3,290000.0,297000.0
ZBRACHLIN,3,330000.0,330000.0
ŁOSINY,3,168000.0,202000.0
TUSZYNKI,3,300000.0,300000.0
KRZYWE KOLANO,3,140000.0,160000.0
JANUSZKOWO,3,400000.0,446333.3333333333
RADZYŃ WYBUDOWANIE,3,250000.0,267333.3333333333
KRZEKOTOWO,3,50000.0,49466.666666666664
MARCELEWO,3,400000.0,387666.6666666667
MIECZKOWO,3,105000.0,158333.33333333334
MGOSZCZ,3,80000.0,86666.66666666667
MAŁY KOMORSK,3,93000.0,114916.66666666667
MAŁE CZYSTE,3,400000.0,413333.3333333333
MAŁA CERKWICA,3,135000.0,193333.33333333334
TONINEK,3,80000.0,70000.0
BUDY RADUNEK,3,100000.0,90000.0
BIECHÓWKO,3,320000.0,290000.0
CHRZANOWO,3,79000.0,204666.66666666666
CHROSNO,3,20000.0,141666.66666666666
CHOBIELIN,3,88000.0,122666.66666666667
ROZALINOWO,3,235000.0,370000.0
BISKUPIN,3,95000.0,138944.33333333334
BRĄCHNÓWKO,3,540000.0,500000.0
GŁĘBOCZEK,3,450000.0,442266.6666666667
GŁOGOWINIEC,3,140000.0,138333.33333333334
BRONIEWO,3,54000.0,146000.0
GAĆ,3,230000.0,236666.66666666666
JAKUBOWO,3,515000.0,520000.0
CIECHRZ,3,68000.0,278666.6666666667
RUDAW,3,175000.0,169666.66666666666
ZAKURZEWO,3,100000.0,183000.0
ZAKRZEWSKA OSADA,3,280000.0,266666.6666666667
KRAJENKI,3,32000.0,28666.666666666668
KOŻUSZKOWO-POMIANY,3,280002.0,241667.33333333334
LUBODZIEŻ,3,320000.0,323333.3333333333
BRZEZINKO,3,280000.0,365000.0
TAJWAN,3,115000.0,109000.0
SŁUPOWO,3,55000.0,70666.66666666667
SŁUPOWA,3,159000.0,139833.33333333334
SŁOŃCZ,3,190000.0,241666.66666666666
SŁONAWY,3,350000.0,324000.0
SŁAWSKO DOLNE,3,180000.0,195666.66666666666
MURUCIN,3,53000.0,52666.666666666664
ZAGAJEWICE,3,222720.0,164240.0
WĘGIERCE,3,106000.0,104833.33333333333
DĄBRÓWKA BARCIŃSKA,3,160000.0,162333.33333333334
PLĄCHOTY,3,150000.0,241666.66666666666
PIERANIE,3,150000.0,175000.0
RYSZEWO,3,202000.0,202333.33333333334
RYDLEWO,3,110000.0,149908.33333333334
JASTRZĘBIEC,3,120000.0,165000.0
DOLNE WYMIARY,3,790000.0,556666.6666666666
SĘDOWO,3,250000.0,261666.66666666666
SZPITAL,3,240000.0,213333.33333333334
SZEMBRUCZEK,3,100000.0,163666.66666666666
MOZGOWINA,3,160000.0,130666.66666666667
DZIEWA,3,150000.0,110000.0
LUTOWO,3,300000.0,215000.0
KIEŁP,3,250000.0,221666.66666666666
PARLINEK,3,110000.0,106666.66666666667
SIEDLIMOWO,3,95000.0,128000.0
RZESZYN,3,95000.0,115666.66666666667
PALIWODZIZNA,3,200000.0,195666.66666666666
ZAKRZEWEK,3,135000.0,189110.0
WIELKIE CZYSTE,3,160500.0,165500.0
WIELKI LUBIEŃ,3,420000.0,363333.3333333333
WIELKA KOMORZA,3,100000.0,113333.33333333333
WIELKA KLONIA,3,100000.0,200000.0
MORSK,3,195000.0,195000.0
DYLEWO,3,95000.0,121666.66666666667
SZAFARNIA,3,60000.0,95000.0
SUCHORĘCZ,3,220000.0,230000.0
WIERZBOWO,3,229000.0,229000.0
WIENIEC,3,65000.0,85266.66666666667
CEGIELNIA,3,159000.0,279300.0
BŁĄDZIM,3,150000.0,189011.66666666666
SIKORZ,3,226600.0,400533.3333333333
SIEMKOWO,3,200000.0,203333.33333333334
GACKI,3,12740.0,12596.666666666666
GABRIELIN,3,7560.0,14413.666666666666
WYMYSŁOWO,3,719000.0,516333.3333333333
GORZUCHOWO,3,305000.0,302333.3333333333
RYCHNOWO,3,150000.0,138333.33333333334
DOBROMIERZ,3,160000.0,161333.33333333334
DOBROGOŚCICE,3,340000.0,490000.0
DOBIESŁAWICE,3,140000.0,140000.0
NOWAWIEŚ PAŁUCKA,3,38000.0,35050.0
JABŁÓWKO,3,380000.0,293333.3333333333
JABŁOWO PAŁUCKIE,3,60000.0,53333.333333333336
NOWY SUMIN,3,104500.0,83833.33333333333
LISNÓWKO,3,48000.0,46000.0
LIPNICZKI,3,190000.0,215333.33333333334
KĘPA KUJAWSKA,3,60000.0,60000.0
CZARMUŃ,3,44450.0,41483.333333333336
OSŁOWO,3,177000.0,160666.66666666666
SKRZESZEWO,3,79740.0,156493.33333333334
CHEŁMICZKI,3,145000.0,106666.66666666667
DĘBOGÓRA,3,15000.0,99333.33333333333
KUŚNIERZ,3,40000.0,42666.666666666664
BORÓWKI,3,45000.0,43666.666666666664
BOGUSZEWO,3,130000.0,94333.33333333333
HUTA PALĘDZKA,3,197500.0,239166.66666666666
HELENOWO,3,145000.0,116166.66666666667
STAWISKA,3,350000.0,260000.0
STARY FOLWARK,3,230000.0,274433.3333333333
WUDZYNEK,3,250000.0,296000.0
WRÓBLE,3,68000.0,107666.66666666667
LINARCZYK,3,500000.0,442000.0
LICISZEWY,3,500000.0,407666.6666666667
SREBRNIKI,3,120000.0,103333.33333333333
LASKOWNICA,3,200000.0,160000.0
GOGOLIN,3,499000.0,428666.6666666667
DZIKI,3,690000.0,570000.0
TUSZKOWO,3,55000.0,122000.0
TOPOLINEK,3,90000.0,90000.0
KLOTYLDOWO,3,115000.0,175000.0
ŚMIŁOWO,3,188000.0,163533.33333333334
KOBYLNICA,3,345000.0,283333.3333333333
ŁAGIEWNIKI,3,90000.0,99666.66666666667
ZRAZIM,3,46000.0,38183.333333333336
KOŁDRĄB,3,58800.0,55266.666666666664
ANIELINY,3,140000.0,166666.66666666666
BARTLEWO,3,330000.0,225000.0
GRABÓWKO,3,90000.0,88333.33333333333
GOŁĘBIEWO,3,120000.0,183333.33333333334
ŁODZIA,3,200000.0,312333.3333333333
ZBOŻE,3,80000.0,74000.0
BIAŁOBŁOTY,2,245000.0,245000.0
KOLANKOWO,2,250000.0,250000.0
ŻEGOTKI,2,290000.0,290000.0
ŻELECHLIN,2,36000.0,36000.0
GOZDAWA,2,308633.0,308633.0
GOŁUSZYCE,2,340000.0,340000.0
GOŚCIESZYNEK,2,70000.0,70000.0
ŚWIDWIE,2,330000.0,330000.0
ADAMKOWO,2,375000.0,375000.0
ŁOWINEK,2,292500.0,292500.0
ŻABNO,2,217500.0,217500.0
ŁĄSKO MAŁE,2,195000.0,195000.0
MIELENKO,2,160000.0,160000.0
TOPÓLNO,2,200000.0,200000.0
TRUTNOWO,2,272500.0,272500.0
TRZCIANY,2,265000.0,265000.0
TURZYN,2,575000.0,575000.0
GODZIMIERZ,2,71500.0,71500.0
LASKOWO,2,120000.0,120000.0
LESZCZ,2,129000.0,129000.0
SOKOLNIKI,2,300000.0,300000.0
SOSNÓWKA,2,85000.0,85000.0
STANOMIN,2,195000.0,195000.0
OLSZÓWKA,2,232500.0,232500.0
ORŁOWO,2,447500.0,447500.0
WIŚNIEWKA,2,102000.0,102000.0
WOLA KOŻUSZKOWA,2,265000.0,265000.0
WOLA WAPOWSKA,2,2800.0,2800.0
STARA RUDA,2,41500.0,41500.0
STARY SUMIN,2,395000.0,395000.0
JEZIORKI ZABARTOWSKIE,2,810000.0,810000.0
JÓZEFINKA,2,116000.0,116000.0
JÓZEFOWO,2,416500.0,416500.0
KACZKOWO,2,193000.0,193000.0
BOLUMIN,2,320000.0,320000.0
CZERSK ŚWIECKI,2,228750.0,228750.0
OŁDRZYCHOWO,2,140000.0,140000.0
WYBCZYK,2,220000.0,220000.0
PALMIEROWO,2,97600.0,97600.0
PALĘDZIE DOLNE,2,230000.0,230000.0
SKOTNIKI,2,207000.0,207000.0
SKÓRZEWO,2,583500.0,583500.0
OSTROWO GM.KRUSZWICA,2,195000.0,195000.0
OTOWICE,2,352500.0,352500.0
CZECZEWO,2,37500.0,37500.0
KUNOWO,2,257500.0,257500.0
KŁÓDKA SZLACHECKA,2,147500.0,147500.0
WIERZEJEWICE,2,330000.0,330000.0
WIESZCZYCE,2,150500.0,150500.0
WILCZKOWO,2,447950.0,447950.0
LIPNIKI,2,431000.0,431000.0
LISINY,2,192500.0,192500.0
IZABELA,2,118000.0,118000.0
JACKOWO,2,405000.0,405000.0
JADOWNIKI BIELSKIE,2,70000.0,70000.0
DREWNO,2,105600.0,105600.0
DROGOSŁAW,2,235000.0,235000.0
LUBCZA,2,352500.0,352500.0
LUBIEWICE,2,50000.0,50000.0
WIELONEK,2,112500.0,112500.0
JERZMIONKI,2,293875.0,293875.0
BUSEWO,2,211947.5,211947.5
BYSŁAWEK,2,427500.0,427500.0
STUDZIENKI,2,102842.5,102842.5
NIEMOJEWKO,2,320000.0,320000.0
NIEMOJEWO,2,262500.0,262500.0
NIESTRONNO,2,72500.0,72500.0
WIELOWICZ,2,90000.0,90000.0
GIŻEWO,2,337500.0,337500.0
GORYSZEWO,2,182500.0,182500.0
FOLGOWO,2,285000.0,285000.0
GAJEWO ZABUDOWANIA,2,180050.0,180050.0
PASTWISKA I PIASKI,2,348750.0,348750.0
SIERAKÓWEK,2,63156.0,63156.0
SIERNIKI,2,225750.0,225750.0
SUPONIN,2,136500.0,136500.0
SUWAŁA,2,22500.0,22500.0
SZCZEGLIN,2,151500.0,151500.0
MORGOWO,2,33750.0,33750.0
MOTYL,2,59500.0,59500.0
KAŹMIEROWO,2,175000.0,175000.0
ZAKRZEWKO,2,673000.0,673000.0
RZADKWIN,2,42500.0,42500.0
RZEPISZYN,2,238500.0,238500.0
RZYM,2,69000.0,69000.0
SADYKIERZ,2,525000.0,525000.0
SAMSIECZYNEK,2,302900.0,302900.0
SARBINOWO,2,227500.0,227500.0
PAMIĘTOWO,2,120000.0,120000.0
PAPROS,2,203500.0,203500.0
PARCHANKI,2,103152.0,103152.0
GIEBNIA,2,480000.0,480000.0
KIJEWO,2,230000.0,230000.0
SZEROKI KAMIEŃ,2,46800.0,46800.0
SZONOWO,2,212500.0,212500.0
SZYNYCH,2,130000.0,130000.0
SÓJKOWO,2,50000.0,50000.0
SŁABOSZEWKO,2,30300.0,30300.0
MIETLICA,2,237500.0,237500.0
MIĘCIERZYN,2,432500.0,432500.0
GAŁĘZEWO,2,180000.0,180000.0
RYCHŁAWA,2,157500.0,157500.0
PIOTRKOWO,2,52500.0,52500.0
PIÓRKOWO,2,255000.0,255000.0
PLEMIĘTA,2,402000.0,402000.0
WYRZA,2,210000.0,210000.0
WĘGIERSK,2,352500.0,352500.0
ZABARTOWO,2,130000.0,130000.0
MĘDRZYCE,2,81500.0,81500.0
KACZKÓWKO,2,188000.0,188000.0
KAMIONEK,2,150000.0,150000.0
KARCZYN-WIEŚ,2,242500.0,242500.0
GUBINY,2,56650.0,56650.0
GUMNOWICE,2,657500.0,657500.0
BRZEZINY,2,262500.0,262500.0
ZAKRZEWO,2,163500.0,163500.0
ROZWARZYN,2,202500.0,202500.0
RUCEWKO,2,372500.0,372500.0
RUZIEC,2,740000.0,740000.0
CHRÓSTOWO,2,200000.0,200000.0
CIELESZYN,2,121000.0,121000.0
CIEMNIKI,2,397500.0,397500.0
COTOŃ,2,344000.0,344000.0
LUBSTÓWEK,2,347500.0,347500.0
LUDWIKOWO,2,44100.0,44100.0
TYLICE,2,20200.0,20200.0
BRUKI I,2,515000.0,515000.0
GRZECZNA PANNA,2,327750.0,327750.0
GRZEGORZ,2,57500.0,57500.0
KARMELITA,2,170000.0,170000.0
KAROLEWO,2,52500.0,52500.0
MIERUCINEK,2,336250.0,336250.0
GÓRY,2,34000.0,34000.0
BRÓDZKI,2,215000.0,215000.0
BUDY,2,122500.0,122500.0
BNIN,2,194250.0,194250.0
JAZDROWO,2,125000.0,125000.0
JEDWABNO,2,270000.0,270000.0
CZAPELKI,2,215000.0,215000.0
POPIELEWO,2,235500.0,235500.0
ROZPĘTEK,2,236000.0,236000.0
ZALESIE SZLACHECKIE,2,565000.0,565000.0
ZAMARTE,2,210000.0,210000.0
BIERZGŁOWO,2,71230.0,71230.0
KOŚCIESZKI,2,54000.0,54000.0
MNISZEK,2,217500.0,217500.0
SŁABĘCIN,2,348500.0,348500.0
MAGDALENKA,2,232500.0,232500.0
MAŁE GACNO,2,135000.0,135000.0
MICHALIN,2,335000.0,335000.0
MIECHOWICE,2,587000.0,587000.0
MIEDZNO,2,180000.0,180000.0
MAZANKI,2,207500.0,207500.0
ŁANKOWICE,2,162500.0,162500.0
ŁĄCKO,2,362500.0,362500.0
KRUSZA ZAMKOWA,2,390000.0,390000.0
KRUSZE,2,100000.0,100000.0
RAFA,2,497000.0,497000.0
RAJGRÓD,2,78925.0,78925.0
REDCZYCE,2,63500.0,63500.0
RETKOWO,2,52500.0,52500.0
ROJEWICE,2,203875.0,203875.0
JANIN,2,50450.0,50450.0
JANOWICE,2,300000.0,300000.0
BIESKOWO,2,188500.0,188500.0
TWIERDZIŃ,2,302500.0,302500.0
KONARY,2,10537.0,10537.0
KOWRÓZEK,2,395000.0,395000.0
ANTONIEWO,2,285000.0,285000.0
PRZESŁAWICE,2,322500.0,322500.0
DÓLSK,2,679500.0,679500.0
MACHOWO,2,140000.0,140000.0
GOŁOTY,1,320000.0,320000.0
ŁUKÓWIEC,1,529000.0,529000.0
BELNO,1,1410.5,1410.5
ŻYROSŁAWICE,1,170000.0,170000.0
ŻÓŁWINY I WYCINKI,1,30000.0,30000.0
ZIMNY ZDRÓJ,1,200004.0,200004.0
ZOFIJÓWKA,1,185000.0,185000.0
ZWIERZYNIEC,1,200000.0,200000.0
ŚLIWICZKI,1,565000.0,565000.0
KOBYLANKA,1,550000.0,550000.0
TRYL,1,37000.0,37000.0
TRZEBIEŃ,1,480000.0,480000.0
