cecha,waga
bud_rodzaj,0.037482720892798325
tran_rodzaj_rynku,0.020799759590550835
tran_rodzaj_trans,0.005075879653416106
tran_sprzedajacy,0.025011947383825353
tran_kupujacy,0.008842333731132192
nier_rodzaj,0.019196111590669137
nier_prawo,0.017071735459050618
miasto,0.014829265408816237
bud_pow_uzyt,0.041719890850009836
nier_pow_gruntu,0.04096269272073575
udzial_float,0.06244503855102001
teryt,0.01902430545650025
rok,0.0423031197986068
miesiac,0.0669055434631989
ma_pow_uzyt,0.0004471562631506946
miasto_med,0.08530644352114779
teryt_med,0.025891847119203025
nier_cena_brutto,0.46615493638605887
ma_nier_cena,0.0005292721601092978
